,DATE_OF_INTEREST,NEW_COVID_CASE_COUNT,HOSPITALIZED_CASE_COUNT,DEATH_COUNT
0,3/2/20,1,3.0,
1,3/3/20,2,3.0,
2,3/4/20,10,5.0,
3,3/5/20,2,4.0,
4,3/6/20,8,5.0,
5,3/7/20,13,9.0,
6,3/8/20,20,12.0,
7,3/9/20,53,24.0,
8,3/10/20,71,38.0,
9,3/11/20,156,56.0,1.0
10,3/12/20,357,61.0,
11,3/13/20,614,123.0,
12,3/14/20,629,148.0,2.0
13,3/15/20,1008,190.0,5.0
14,3/16/20,2033,304.0,9.0
15,3/17/20,2335,326.0,7.0
16,3/18/20,2791,395.0,21.0
17,3/19/20,3463,485.0,25.0
18,3/20/20,3697,557.0,43.0
19,3/21/20,2179,550.0,34.0
20,3/22/20,2057,579.0,44.0
21,3/23/20,3093,790.0,77.0
22,3/24/20,3523,770.0,84.0
23,3/25/20,3831,839.0,106.0
24,3/26/20,3950,858.0,154.0
25,3/27/20,3719,883.0,166.0
26,3/28/20,2384,732.0,190.0
27,3/29/20,2642,823.0,212.0
28,3/30/20,4305,925.0,213.0
29,3/31/20,3473,787.0,254.0
30,4/1/20,3170,818.0,211.0
31,4/2/20,3477,547.0,197.0
32,4/3/20,1705,42.0,173.0
33,4/4/20,76,,24.0
